iname,fusion,adq2,blk
dev_0001.tif ,0.2989, 0.0000, 0.2989
dev_0002.jpg ,0.8565, 0.8569, 0.9601
dev_0003.jpg ,0.9831, 0.9903, 0.9798
dev_0004.tif ,0.9849, 0.0000, 0.9849
dev_0005.jpg ,0.9399, 0.0000, 0.9399
dev_0006.tif ,0.1498, 0.0000, 0.4047
dev_0007.tif ,0.8732, 0.0000, 0.8732
dev_0008.tif ,0.7582, 0.0000, 0.7582
dev_0009.jpg ,0.3266, 0.9407, 0.3182
dev_0010.jpg ,0.9058, 0.0000, 0.9058
dev_0011.jpg ,0.5560, 0.9906, 0.4148
dev_0012.jpg ,0.4868, 0.3729, 0.4892
dev_0013.tif ,0.6848, 0.0000, 0.6848
dev_0014.tif ,0.5744, 0.0000, 0.0000
dev_0015.tif ,0.6798, 0.0000, 0.6798
dev_0016.tif ,0.6792, 0.0000, 0.6792
dev_0017.jpg ,0.7681, 0.8869, 0.7694
dev_0018.jpg ,0.6944, 0.7894, 0.7451
dev_0019.tif ,0.3460, 0.0000, 0.3460
dev_0020.tif ,0.4359, 0.0000, 0.4359
dev_0021.tif ,0.9293, 0.0000, 0.9293
dev_0022.tif ,0.6857, 0.0000, 0.6857
dev_0023.tif ,0.4405, 0.0000, 0.4405
dev_0024.tif ,0.9788, 0.0000, 0.9788
dev_0025.tif ,0.8874, 0.0000, 0.8874
dev_0026.tif ,0.8317, 0.0000, 0.8317
dev_0027.tif ,0.4507, 0.0000, 0.4507
dev_0028.tif ,0.4861, 0.0000, 0.4861
dev_0029.tif ,0.1864, 0.0000, 0.1864
dev_0030.tif ,0.1309, 0.0000, 0.1309
dev_0031.jpg ,0.9652, 0.9828, 0.9690
dev_0032.tif ,0.4722, 0.0000, 0.4722
dev_0033.tif ,0.3265, 0.0000, 0.0088
dev_0034.tif ,0.7073, 0.0000, 0.7073
dev_0035.tif ,0.2952, 0.0000, 0.2952
dev_0036.tif ,0.9656, 0.0000, 0.9656
dev_0037.tif ,0.0000, 0.0000, 0.0000
dev_0038.jpg ,0.4200, 0.9855, 0.4152
dev_0039.tif ,0.0000, 0.0000, 0.0000
dev_0040.tif ,0.0408, 0.0000, 0.0408
dev_0041.jpg ,0.9306, 0.9300, 0.9343
dev_0042.tif ,0.0430, 0.0000, 0.0430
dev_0043.tif ,0.3005, 0.0000, 0.0674
dev_0044.tif ,0.6525, 0.0000, 0.6525
dev_0045.tif ,0.5105, 0.0000, 0.5105
dev_0046.jpg ,0.0102, 0.0000, 0.0102
dev_0047.tif ,0.4412, 0.0000, 0.4412
dev_0048.jpg ,0.7015, 0.0000, 0.7015
dev_0049.jpg ,0.7203, 0.9825, 0.7008
dev_0050.tif ,0.4780, 0.0000, 0.4780
dev_0051.tif ,0.5560, 0.0000, 0.5560
dev_0052.jpg ,0.0908, 0.0000, 0.0908
